Date,close,Open,High,Low,Vol.,Change %
05 10 2003,1523.10,1449.45,1527.25,1423.75,774.90M,5.09%
28 09 2003,1449.30,1386.90,1451.20,1386.10,516.50M,4.50%
21 09 2003,1386.95,1319.25,1389.30,1290.55,709.81M,4.90%
14 09 2003,1322.15,1371.75,1377.45,1285.25,799.26M,-3.64%
07 09 2003,1372.10,1398.40,1430.70,1367.15,721.45M,-1.88%
31 08 2003,1398.40,1356.70,1400.90,1353.60,730.89M,3.09%
24 08 2003,1356.55,1311.95,1365.80,1245.85,913.39M,3.46%
17 08 2003,1311.15,1247.90,1319.45,1247.90,950.17M,5.08%
10 08 2003,1247.75,1222.60,1260.35,1215.75,579.08M,2.05%
03 08 2003,1222.65,1196.05,1224.50,1164.75,564.45M,2.25%
27 07 2003,1195.75,1163.25,1198.80,1154.80,445.02M,2.84%
20 07 2003,1162.75,1140.00,1164.70,1089.30,423.85M,2.00%
13 07 2003,1140.00,1161.20,1175.95,1130.45,373.13M,-1.86%
06 07 2003,1161.65,1138.90,1170.75,1134.60,327.46M,2.04%
29 06 2003,1138.45,1125.60,1150.75,1125.50,351.63M,1.15%
22 06 2003,1125.55,1100.60,1126.80,1079.10,378.85M,2.30%
15 06 2003,1100.25,1056.50,1101.60,1045.55,357.94M,4.17%
08 06 2003,1056.20,1046.00,1059.45,1033.95,317.21M,0.94%
01 06 2003,1046.40,1006.85,1048.85,1004.70,352.10M,3.93%
25 05 2003,1006.80,967.85,1013.85,967.1,342.55M,4.02%
18 05 2003,967.9,973.7,980.75,959.8,299.22M,-0.53%
11 05 2003,973.1,938.5,974.4,934,254.57M,3.76%
04 05 2003,937.85,937.45,956.65,935.8,324.21M,-0.05%
27 04 2003,938.3,922.85,940.2,920,246.81M,1.51%
20 04 2003,924.3,941.5,951.4,921.1,355.63M,-1.74%
13 04 2003,940.7,951.8,964.2,936.7,159.83M,-0.96%
06 04 2003,949.8,1017.05,1033.45,935.7,304.95M,-6.60%
30 03 2003,1016.95,1000.60,1018.25,973.5,245.66M,1.63%
23 03 2003,1000.60,1037.15,1038.55,996.75,221.61M,-2.91%
16 03 2003,1030.55,999.7,1033.70,982.7,203.95M,3.09%
09 03 2003,999.65,1017.10,1021.50,994.2,184.12M,-1.72%
02 03 2003,1017.10,1063.55,1070.85,1014.30,223.02M,-4.35%
23 02 2003,1063.40,1066.20,1075.50,1044.90,283.08M,-0.26%
